title,price,district,town,main category,sub category,Brand,Model year,Condition,Transmission,Model,Body type,Fuel type,Engine capacity,Mileage
Honda Civic EX 2018,"6,775,000",Matale,Matale,Cars & Vehicles,Cars,Honda,2018,New,Automatic,Civic EX,Saloon,Petrol,"1,000 ",100 
ISUZU BF DIFFERENCIALS,"130,000",Gampaha,Kelaniya,Cars & Vehicles,Auto Parts & Accessories,,,Reconditioned,,,,,,
Toyota KDH 201 Super GL 2008,"6,375,000",Puttalam,Chilaw,Cars & Vehicles,"Vans, Buses & Lorries",Toyota,2008,Used,,KDH 201 Super GL,,,,"115,000 "
Bajaj R_160NS_PULSAR_R 2018,"119,680",Colombo,Kolonnawa,Cars & Vehicles,Motorbikes & Scooters,Bajaj,2018,New,,R_160NS_PULSAR_R,,,160 ,0 
Suzuki japan alto 2015,"2,400,000",Colombo,Boralesgamuwa,Cars & Vehicles,Auto Services,,,,,,,,,
Car Parking Canopy Tent,"22,990",Colombo,Colombo 5,Cars & Vehicles,Auto Parts & Accessories,,,New,,,,,,
Suzuki Wagon R FX B/ NEW 2018,"2,890,000",Gampaha,Kelaniya,Cars & Vehicles,Cars,Suzuki,2018,New,Automatic,Wagon R FX B/ NEW,Hatchback,"Petrol, Other fuel type",650 ,12 
Toyota prius 2008,"3,400,000",Kandy,Kandy,Cars & Vehicles,Cars,Toyota,2008,Used,Automatic,prius,Hatchback,Petrol,"1,500 ","150,000 "
Suzuki Alto 2015,"1,845,000",Colombo,Piliyandala,Cars & Vehicles,Cars,Suzuki,2015,Used,Manual,Alto,Hatchback,Petrol,800 ,"43,000 "
Bajaj R_160NS_PULSAR_W 2018,"119,680",Colombo,Kolonnawa,Cars & Vehicles,Motorbikes & Scooters,Bajaj,2018,New,,R_160NS_PULSAR_W,,,160 ,0 
Suzuki Wagon R FX Safety 2017,"3,060,000",Gampaha,Kelaniya,Cars & Vehicles,Cars,Suzuki,2017,New,Automatic,Wagon R FX Safety,Hatchback,"Petrol, Other fuel type",650 ,343 
X TRAIL FOOTBOARD,"29,000",Gampaha,Gampaha,Cars & Vehicles,Auto Parts & Accessories,,,New,,,,,,
Bajaj Three Wheel,"109,000",Kalutara,Kalutara,Cars & Vehicles,Three Wheelers,,,Used,,,,,,
Honda N Box 2015,"3,375,000",Colombo,Nugegoda,Cars & Vehicles,Cars,Honda,2015,Reconditioned,Automatic,honda N Box,MPV,Petrol,660 ,"32,800 "
SUZUKI BOX ALTO FRONT SET,"14,000",Colombo,Dehiwala,Cars & Vehicles,Auto Parts & Accessories,,,Used,,,,,,
KITO R 2000 2018,"139,000",Colombo,Battaramulla,Cars & Vehicles,Motorbikes & Scooters,Other brand,2018,New,,KITO R 2000,,,75 ,0 
Three Wheeler Bajaj,"278,000",Gampaha,Ja-Ela,Cars & Vehicles,Three Wheelers,,,Used,,,,,,
Bajaj R_180D-PULSAR-EB 2018,"119,155",Colombo,Kolonnawa,Cars & Vehicles,Motorbikes & Scooters,Bajaj,2018,New,,R_180D-PULSAR-EB,,,180 ,0 
Suzuki Every wagon 2018,"3,690,000",Ratnapura,Balangoda,Cars & Vehicles,"Vans, Buses & Lorries",Suzuki,2018,New,,Every wagon,,,,0 
Toyota VITZ 2014,"3,485,000",Gampaha,Gampaha,Cars & Vehicles,Cars,Toyota,2014,Used,Automatic,VITZ,Hatchback,Petrol,"1,000 ","40,000 "
AC compressor,"16,000",Kurunegala,Kurunegala,Cars & Vehicles,Auto Parts & Accessories,,,Reconditioned,,,,,,
Toyota Vitz 2015,"3,750,000",Colombo,Colombo 6,Cars & Vehicles,Cars,Toyota,2015,Reconditioned,Automatic,Vitz,Hatchback,Petrol,"1,000 ","49,000 "
BMW 318i M-Sport 2017,"10,600,000",Colombo,Dehiwala,Cars & Vehicles,Cars,BMW,2017,New,Tiptronic,318i M-Sport,Saloon,"Petrol, Other fuel type","1,500 ",0 
Starter motor Dolphine,"12,000",Kurunegala,Kurunegala,Cars & Vehicles,Auto Parts & Accessories,,,Used,,,,,,
Toyota Allion 260 G grade 2011,"5,450,000",Anuradhapura,Anuradhapura,Cars & Vehicles,Cars,Toyota,2011,Used,Automatic,Allion 260 G grade,,Petrol,"1,500 ","68,600 "
Toyota Aqua 2014,"3,975,000",Colombo,Maharagama,Cars & Vehicles,Cars,Toyota,2014,Used,Automatic,Aqua,Hatchback,Petrol,"1,500 ","51,000 "
Honda N Box 2015,"3,275,000",Colombo,Nugegoda,Cars & Vehicles,Cars,Honda,2015,Reconditioned,Automatic,Honda N Box,MPV,Petrol,660 ,"37,000 "
Ashok Leyland 1613 3 cube 2012,"3,200,000",Hambantota,Hambantota,Cars & Vehicles,"Vans, Buses & Lorries",Ashok Leyland,2012,Used,,1613 3 cube,,,,"160,000 "
Nissan Leaf 2013,"1,300,000",Colombo,Dehiwala,Cars & Vehicles,Cars,Nissan,2013,Used,Automatic,Leaf,,Other fuel type,70 ,"57,000 "
Suzuki Wagon R FX 2017,"2,765,000",Gampaha,Kiribathgoda,Cars & Vehicles,Cars,Suzuki,2017,Reconditioned,Automatic,Wagon R  FX,,Petrol,660 ,"7,900 "
Honda fd3 2010,"4,250,000",Gampaha,Gampaha,Cars & Vehicles,Cars,Honda,2010,Used,Automatic,fd3,Saloon,Petrol,"1,330 ","91,500 "
KITO R 2000 2018,"139,000",Colombo,Battaramulla,Cars & Vehicles,Motorbikes & Scooters,Other brand,2018,New,,KITO R 2000,,,75 ,0 
KITO R 2000 2018,"139,000",Colombo,Battaramulla,Cars & Vehicles,Motorbikes & Scooters,Other brand,2018,New,,KITO R 2000,,,75 ,0 
Mitsubishi Montero Super 2012,"13,700,000",Kurunegala,Kurunegala,Cars & Vehicles,Cars,Mitsubishi,2012,Used,Tiptronic,Montero Super,SUV / 4x4,Diesel,"3,200 ","53,000 "
Suzuki Alto Sport 2015,"1,890,000",Matara,Matara,Cars & Vehicles,Cars,Suzuki,2015,Used,Manual,Alto Sport,Hatchback,Petrol,800 ,"25,720 "
Wedding Cars For Hire - Toyota Axio,35,Colombo,Colombo 15,Cars & Vehicles,Auto Services,,,,,,,,,
Toyota Vitz F Grade 2015,"3,410,000",Colombo,Kohuwala,Cars & Vehicles,Cars,Toyota,2015,Reconditioned,Automatic,Vitz F Grade,Hatchback,Petrol,"1,000 ","48,000 "
Toyota Vios 2005,"2,825,000",Colombo,Colombo 15,Cars & Vehicles,Cars,Toyota,2005,Used,Automatic,Vios,Saloon,Petrol,"1,500 ","183,000 "
Mazda Familia 323 1985,"670,000",Gampaha,Kiribathgoda,Cars & Vehicles,Cars,Mazda,1985,Used,Manual,Familia 323,Hatchback,Petrol,"1,300 ","95,000 "
Honda FIT GP1 HYBRID 2010,"3,200,000",Colombo,Colombo 8,Cars & Vehicles,Cars,Honda,2010,Used,Automatic,FIT GP1 HYBRID,,Other fuel type,"1,330 ","73,000 "
Honda Fit GD1 2007,"2,580,000",Kandy,Kandy,Cars & Vehicles,Cars,Honda,2007,Used,Automatic,Fit GD1,Hatchback,Petrol,"1,300 ","102,000 "
Kia Picanto 2016,"2,480,000",Colombo,Rajagiriya,Cars & Vehicles,Cars,Kia,2016,Used,Manual,Picanto 2016,Hatchback,Petrol,"1,000 ","15,000 "
Toyota HILUX SSR-X 107 1992,"3,100,000",Colombo,Kotte,Cars & Vehicles,Cars,Toyota,1992,Used,Manual,HILUX SSR-X 107,,Diesel,"2,770 ","247,000 "
Audi Q2 2017,"8,000,000",Colombo,Kohuwala,Cars & Vehicles,Cars,Audi,2017,New,Tiptronic,Q2,SUV / 4x4,Petrol,"1,000 ",0 
Bajaj Pulser 220 2011,"190,000",Colombo,Wellampitiya,Cars & Vehicles,Motorbikes & Scooters,Bajaj,2011,Used,,Pulser 220,,,220 ,"25,000 "
Toyota Harrier 2009,"7,700,000",Matara,Matara,Cars & Vehicles,Cars,Toyota,2009,Used,Tiptronic,Harrier,SUV / 4x4,Petrol,"2,400 ","100,000 "
Suzuki WAGON R STINGRAY 2014,"2,890,000",Colombo,Malabe,Cars & Vehicles,Cars,Suzuki,2014,Used,Automatic,WAGON R STINGRAY,Hatchback,Petrol,650 ,"23,072 "
Nissan New Face Leaf 2018,"6,900,000",Colombo,Kohuwala,Cars & Vehicles,Cars,Nissan,2018,New,Automatic,New Face Leaf,Saloon,Other fuel type,85 ,0 
Daihatsu Mira Gold 2016,"2,550,000",Gampaha,Kandana,Cars & Vehicles,Cars,Daihatsu,2016,Reconditioned,Automatic,Mira Gold,Hatchback,Petrol,650 ,"6,550 "
Ashok Leyland Lorry 1998,"950,000",Colombo,Colombo 10,Cars & Vehicles,"Vans, Buses & Lorries",Ashok Leyland,1998,Used,,Lorry,,,,"10,000 "
Suzuki Wagon R 2014,"2,700,000",Colombo,Piliyandala,Cars & Vehicles,Cars,Suzuki,2014,Used,Automatic,Wagon R 2014,Hatchback,Petrol,650 ,"20,000 "
Ssang Yong RextonW e-XDi 2015,"8,675,000",Colombo,Battaramulla,Cars & Vehicles,Cars,Ssang Yong,2015,Used,Tiptronic,RextonW e-XDi 2015,,Diesel,"2,000 ","34,000 "
Land Rover Defender A Bar,"80,000",Colombo,Boralesgamuwa,Cars & Vehicles,Auto Parts & Accessories,,,Used,,,,,,
Suzuki GN 2018,"92,000",Colombo,Moratuwa,Cars & Vehicles,Motorbikes & Scooters,Suzuki,2018,New,,GN,,,125 ,0 
Toyota TOWNACE DX 2014,"4,000,000",Colombo,Colombo 5,Cars & Vehicles,"Vans, Buses & Lorries",Toyota,2014,Used,,TOWNACE DX,,,,"50,000 "
Nissan KRJVWE25 COMO 2007,"4,860,000",Kurunegala,Kurunegala,Cars & Vehicles,"Vans, Buses & Lorries",Nissan,2007,Used,,KRJVWE25 COMO,,,,"180,000 "
Toyota Aqua G-Grade 2015,"5,300,000",Colombo,Colombo 3,Cars & Vehicles,Cars,Toyota,2015,Reconditioned,Automatic,Aqua G-Grade,,Petrol,"1,500 ","1,500 "
Nissan Vanette 1989,"1,450,000",Galle,Elpitiya,Cars & Vehicles,"Vans, Buses & Lorries",Nissan,1989,Used,,Vanette,,,,"48,555 "
Mitsubishi montero GLS 2015,"15,750,000",Gampaha,Nittambuwa,Cars & Vehicles,Cars,Mitsubishi,2015,Used,Automatic,montero GLS,SUV / 4x4,Diesel,"3,200 ","15,000 "
THREE WHEELER,"540,000",Gampaha,Divulapitiya,Cars & Vehicles,Three Wheelers,,,Used,,,,,,
Kiron Car conjointe,"15,000",Gampaha,Kandana,Cars & Vehicles,Auto Parts & Accessories,,,Used,,,,,,
Perodua Viva Elite Premium 2012,"2,250,000",Colombo,Kottawa,Cars & Vehicles,Cars,Perodua,2012,Used,Automatic,Viva Elite Premium,Hatchback,Petrol,"1,000 ","50,369 "
Daewoo Leganza 1999,"1,200,000",Gampaha,Ragama,Cars & Vehicles,Cars,Daewoo,1999,Used,Manual,Leganza,Saloon,Petrol,"2,000 ","156,000 "
Daihatsu Rocky 4x4 Jeep 1985,"1,875,000",Colombo,Ratmalana,Cars & Vehicles,Cars,Daihatsu,1985,Used,Manual,Rocky 4x4 Jeep,SUV / 4x4,Diesel,"2,765 ","137,000 "
Car LED Light 20W 12V 2xPcs - COB,"2,990",Colombo,Colombo 6,Cars & Vehicles,Auto Parts & Accessories,,,New,,,,,,
TVS Wego 2018,"56,500",Gampaha,Delgoda,Cars & Vehicles,Motorbikes & Scooters,TVS,2018,New,,Wego,,,110 ,0 
Hilux vigo radiator,"35,000",Gampaha,Kelaniya,Cars & Vehicles,Auto Parts & Accessories,,,New,,,,,,
Hero Hunk / 150/ B/NEW 2018,"94,250",Colombo,Ratmalana,Cars & Vehicles,Motorbikes & Scooters,Hero,2018,New,,Hunk / 150/ B/NEW,,,150 ,0 
Hillmen Torana 1968,"280,000",Colombo,Colombo 10,Cars & Vehicles,Cars,Other brand,1968,Used,Manual,Hillmen Torana,Saloon,Petrol,"1,200 ","150,000 "
Rent a Car -[[[Axio 2016 G ]]],"5,000",Colombo,Kohuwala,Cars & Vehicles,Auto Services,,,,,,,,,
Toyota KR42 3C CONVERTED 1998,"2,790,000",Matara,Matara,Cars & Vehicles,"Vans, Buses & Lorries",Toyota,1998,Used,,KR42 3C CONVERTED,,,,"147,000 "
Suzuki GIXXER 2018,"125,000",Colombo,Moratuwa,Cars & Vehicles,Motorbikes & Scooters,Suzuki,2018,New,,GIXXER,,,155 ,0 
Yamaha Fz 16 s 2010,"180,000",Colombo,Piliyandala,Cars & Vehicles,Motorbikes & Scooters,Yamaha,2010,Used,,Fz 16 s,,,150 ,"43,000 "
Honda Fit GP5 Hybrid 2013,"3,850,000",Colombo,Moratuwa,Cars & Vehicles,Cars,Honda,2013,Used,Automatic,Fit GP5 Hybrid,,Petrol,"1,500 ","6,500 "
Honda vezel 2014,"5,100,000",Gampaha,Negombo,Cars & Vehicles,Cars,Honda,2014,Used,Automatic,Honda vezel,Saloon,Petrol,"1,500 ","50,000 "
Micro Panda Cross 2012,"1,585,000",Colombo,Kottawa,Cars & Vehicles,Cars,Micro,2012,Used,Manual,Panda Cross,Hatchback,Petrol,"1,300 ","23,000 "
Ashok Leyland Comet tipper 1613 2011,"3,100,000",Kalutara,Kalutara,Cars & Vehicles,"Vans, Buses & Lorries",Ashok Leyland,2011,Used,,Comet tipper 1613,,,,"100,000 "
Suzuki WAGON R FZ 2014,"2,690,000",Matara,Matara,Cars & Vehicles,Cars,Suzuki,2014,Used,Automatic,WAGON R FZ,Hatchback,Petrol,650 ,"42,000 "
Toyota premio 2017,"8,075,000",Gampaha,Ganemulla,Cars & Vehicles,Cars,Toyota,2017,New,Automatic,premio,Saloon,Petrol,"1,500 ",766 
Nissan PULSAR AUTO 1997,"1,775,000",Matara,Matara,Cars & Vehicles,Cars,Nissan,1997,Used,Automatic,PULSAR AUTO,Saloon,Petrol,"1,500 ","147,000 "
Suzuki swift beetle style 2010,"3,075,000",Gampaha,Gampaha,Cars & Vehicles,Cars,Suzuki,2010,Used,Automatic,swift beetle style,,Petrol,"1,300 ","75,000 "
Suzuki STINGRAY WAGON R 2018,"3,390,000",Matara,Matara,Cars & Vehicles,Cars,Suzuki,2018,New,Automatic,STINGRAY WAGON R,Hatchback,Petrol,650 ,0 
SPACIA CUSTOM Z SPECIAL LOANS & LEASING,"1,664",Gampaha,Wattala,Cars & Vehicles,Auto Services,,,,,,,,,
17801-37020 Pruis Lexus Air filter,"2,850",Colombo,Nugegoda,Cars & Vehicles,Auto Parts & Accessories,,,New,,,,,,
Toyota CHR TRD Bodykit,"155,000",Colombo,Pannipitiya,Cars & Vehicles,Auto Parts & Accessories,,,New,,,,,,
Toyota Prius 2013,"5,050,000",Gampaha,Wattala,Cars & Vehicles,Cars,Toyota,2013,Used,Automatic,Prius,,Petrol,"1,800 ","63,000 "
Micro Panda 2012,"1,465,000",Gampaha,Wattala,Cars & Vehicles,Cars,Micro,2012,Used,Manual,Panda,,Petrol,"1,000 ","70,000 "
Toyota Sai Luxury Hybrid 2010,"5,500,000",Matara,Matara,Cars & Vehicles,Cars,Toyota,2010,Used,Automatic,Sai Luxury Hybrid,Saloon,"Petrol, Other fuel type","2,400 ","122,000 "
Toyota LiteAce CM36 1991,"1,585,000",Kalutara,Bandaragama,Cars & Vehicles,"Vans, Buses & Lorries",Toyota,1991,Used,,LiteAce CM36,,,,"100,000 "
Toyota Rush 2006,"3,850,000",Colombo,Piliyandala,Cars & Vehicles,Cars,Toyota,2006,Used,Automatic,Rush,SUV / 4x4,Petrol,"1,490 ","109,000 "
Micro Panda 2014,"1,450,000",Kandy,Digana,Cars & Vehicles,Cars,Micro,2014,Used,Manual,Panda,Hatchback,Petrol,"1,000 ","17,500 "
Honda Vezel 2014,"5,800,000",Gampaha,Ja-Ela,Cars & Vehicles,Cars,Honda,2014,Reconditioned,Automatic,Vezel,SUV / 4x4,Petrol,"1,490 ","24,000 "
Toyota Vitz 8 airbags 2007,"2,680,000",Gampaha,Ja-Ela,Cars & Vehicles,Cars,Toyota,2007,Used,Automatic,Vitz 8 airbags,Hatchback,Petrol,"1,000 ","97,000 "
COROLLA 110 පහසු ලීසිං දිනකින්,"2,210",Gampaha,Kelaniya,Cars & Vehicles,Auto Services,,,,,,,,,
Mitsubishi Montero 2000,"5,600,000",Puttalam,Wennappuwa,Cars & Vehicles,Cars,Mitsubishi,2000,Used,Tiptronic,Montero,SUV / 4x4,Diesel,"3,200 ","150,000 "
TVS metro 2018,"38,600",Gampaha,Delgoda,Cars & Vehicles,Motorbikes & Scooters,TVS,2018,New,,metro,,,100 ,0 
Suzuki A STAR ZXI 2011,"2,100,000",Jaffna,Jaffna,Cars & Vehicles,Cars,Suzuki,2011,Used,Manual,A STAR ZXI,Hatchback,Petrol,"1,000 ","35,000 "
Vespa Scooter 1978,"320,000",Colombo,Kaduwela,Cars & Vehicles,Motorbikes & Scooters,Vespa,1978,Used,,Scooter,,,150 ,"27,650 "
Toyota Camry Hybrid 2014,"9,500,000",Gampaha,Negombo,Cars & Vehicles,Cars,Toyota,2014,Used,Automatic,Camry Hybrid,Saloon,Petrol,"2,490 ","20,800 "
Suzuki Swift RS 2017,"4,925,000",Colombo,Kohuwala,Cars & Vehicles,Cars,Suzuki,2017,New,Automatic,Swift RS,Hatchback,Petrol,"1,300 ",0 
Mazda 3 2016,"6,800,000",Colombo,Battaramulla,Cars & Vehicles,Cars,Mazda,2016,Used,Tiptronic,Mazda3,Saloon,Petrol,"1,600 ","31,000 "
Rent a Car - Suzuki Every Van,"3,000",Kalutara,Panadura,Cars & Vehicles,Auto Services,,,,,,,,,
TVS Metro 2018,"38,600",Gampaha,Delgoda,Cars & Vehicles,Motorbikes & Scooters,TVS,2018,New,,Metro,,,100 ,0 
Suzuki Every 2007,"2,075,000",Colombo,Homagama,Cars & Vehicles,"Vans, Buses & Lorries",Suzuki,2007,Used,,Every,,,,"85,000 "
Honda CBR 2012,"255,000",Gampaha,Negombo,Cars & Vehicles,Motorbikes & Scooters,Honda,2012,Used,,CBR,,,250 ,"28,000 "
Mercedes-Benz C160 2018,"11,400,000",Colombo,Malabe,Cars & Vehicles,Cars,Mercedes-Benz,2018,Used,Tiptronic,C160,Saloon,Petrol,"1,600 ","1,350 "
HORN - SNAIL TYPE,950,Colombo,Nugegoda,Cars & Vehicles,Auto Parts & Accessories,,,New,,,,,,
Bajaj pulsar 2011,"95,000",Gampaha,Nittambuwa,Cars & Vehicles,Motorbikes & Scooters,Bajaj,2011,Used,,pulsar,,,135 ,"45,000 "
SUZUKI WAGON R 2017 DVD SETUP,"13,500",Gampaha,Kadawatha,Cars & Vehicles,Auto Parts & Accessories,,,New,,,,,,
Toyota Vitz Safety Package 2017,"4,125,000",Colombo,Kohuwala,Cars & Vehicles,Cars,Toyota,2017,Reconditioned,Automatic,Vitz Safety Package,Hatchback,Petrol,"1,000 ","11,000 "
Mazda RX-8 R3 2009,"5,200,000",Colombo,Nugegoda,Cars & Vehicles,Cars,Mazda,2009,Used,Manual,RX-8 R3,,Petrol,"1,300 ","23,660 "
Kia Sorento 2011,"5,875,000",Colombo,Moratuwa,Cars & Vehicles,Cars,Kia,2011,Used,Tiptronic,Sorento,SUV / 4x4,Petrol,"2,400 ","79,000 "
Mazda BKG-LHR85A TITAN 2009,"2,950,000",Kurunegala,Wariyapola,Cars & Vehicles,"Vans, Buses & Lorries",Mazda,2009,Used,,BKG-LHR85A TITAN,,,,"105,700 "
Toyota vitz f 2016,"3,730,000",Kalutara,Panadura,Cars & Vehicles,Cars,Toyota,2016,Reconditioned,Automatic,vitz f,Hatchback,Petrol,"1,000 ","16,000 "
17801-0C010 hilux (A-1028) air filter,"3,200",Colombo,Nugegoda,Cars & Vehicles,Auto Parts & Accessories,,,New,,,,,,
Toyota vitz 2008,"2,900,000",Colombo,Ratmalana,Cars & Vehicles,Cars,Toyota,2008,Used,Automatic,vitz,Hatchback,Petrol,990 ,"100,000 "
Yamaha fzs 2018,"119,670",Colombo,Kohuwala,Cars & Vehicles,Motorbikes & Scooters,Yamaha,2018,New,,fzs,,,150 ,0 
Honda CITY GD8 2003,"2,525,000",Colombo,Nugegoda,Cars & Vehicles,Cars,Honda,2003,Used,Tiptronic,Honda CITY GD8 2003,Saloon,Petrol,"1,500 ","122,700 "
Toyota Rav4 2008,"4,775,000",Colombo,Moratuwa,Cars & Vehicles,Cars,Toyota,2008,Used,Tiptronic,Rav4,SUV / 4x4,Petrol,"2,400 ","80,000 "
Mitsubishi Mini Cab 2007,"1,650,000",Colombo,Homagama,Cars & Vehicles,"Vans, Buses & Lorries",Mitsubishi,2007,Used,,Mini Cab,,,,"220,000 "
Nissan Trad Sunny 1988,"785,000",Kurunegala,Narammala,Cars & Vehicles,Cars,Nissan,1988,Used,Manual,Trad Sunny,Saloon,Petrol,"1,300 ","170,000 "
Toyota Platz 2001,"1,775,000",Colombo,Piliyandala,Cars & Vehicles,Cars,Toyota,2001,Used,Automatic,Platz,Saloon,Petrol,"1,000 ","114,000 "
Car Bluetooth Hand free kit.Speakerphone,"3,990",Colombo,Colombo 6,Cars & Vehicles,Auto Parts & Accessories,,,New,,,,,,
Nissan Caravan E 25 2007,"1,725,000",Gampaha,Gampaha,Cars & Vehicles,"Vans, Buses & Lorries",Nissan,2007,Used,,Caravan E 25,,,,"300,000 "
Kia Sportage 2011,"4,900,000",Colombo,Moratuwa,Cars & Vehicles,Cars,Kia,2011,Used,Automatic,Sportage,SUV / 4x4,Petrol,"2,000 ","75,000 "
Bajaj Three Wheeler 4 strok,"400,000",Gampaha,Nittambuwa,Cars & Vehicles,Three Wheelers,,,Used,,,,,,
Hyundai Accent 2000,"1,375,000",Anuradhapura,Anuradhapura,Cars & Vehicles,Cars,Hyundai,2000,Used,Manual,Aent,Saloon,Petrol,"1,500 ","120,000 "
Toyota Land Cruiser VX 2013,"21,500,000",Colombo,Colombo 4,Cars & Vehicles,Cars,Toyota,2013,Used,Automatic,Land Cruiser VX,SUV / 4x4,Petrol,"4,600 ","90,000 "
Suzuki Swift 2004,"2,250,000",Colombo,Ratmalana,Cars & Vehicles,Cars,Suzuki,2004,Used,Automatic,Swift,Hatchback,Petrol,"1,300 ","107,000 "
Honda Fit GP5 2014,"4,030,000",Colombo,Maharagama,Cars & Vehicles,Cars,Honda,2014,Used,Automatic,Fit GP5,Hatchback,Petrol,"1,500 ","48,216 "
TVS Apache 150 2018,"99,800",Gampaha,Delgoda,Cars & Vehicles,Motorbikes & Scooters,TVS,2018,New,,Apache 150,,,150 ,0 
Honda Fit GP5 L Grade 2014,"3,975,000",Colombo,Colombo 6,Cars & Vehicles,Cars,Honda,2014,Used,Automatic,Fit GP5 L Grade,Hatchback,Petrol,"1,500 ","62,000 "
Suzuki spacia custom Z 2017,"3,250,000",Colombo,Kohuwala,Cars & Vehicles,Cars,Suzuki,2017,Reconditioned,Automatic,spacia custom Z,Hatchback,"Petrol, CNG",650 ,"4,800 "
SUZUKI STINGRAY ISLAMIC FINANCE,"1,664",Gampaha,Wattala,Cars & Vehicles,Auto Services,,,,,,,,,
TVS Wego 2018,"44,000",Gampaha,Delgoda,Cars & Vehicles,Motorbikes & Scooters,TVS,2018,New,,Wego,,,110 ,0 
17801-0L040 Revo cab hilux air filter,"2,950",Colombo,Nugegoda,Cars & Vehicles,Auto Parts & Accessories,,,New,,,,,,
Honda Fit Area 2006,"2,650,000",Gampaha,Negombo,Cars & Vehicles,Cars,Honda,2006,Used,Automatic,Fit Area 2006,Saloon,Petrol,"1,500 ","170,000 "
TVS Apache 150 rtr 2018,"99,800",Gampaha,Delgoda,Cars & Vehicles,Motorbikes & Scooters,TVS,2018,New,,Apache 150 rtr,,,150 ,0 
Suzuki celerio VXI 2015,"2,320,000",Gampaha,Kadawatha,Cars & Vehicles,Cars,Suzuki,2015,Used,Automatic,celerio VXI,Hatchback,Petrol,"1,000 ","53,000 "
Chery QQ 2006,"810,000",Galle,Galle,Cars & Vehicles,Cars,Chery,2006,Used,Manual,Chery QQ,Hatchback,Petrol,812 ,"71,000 "
Three Wheeler,"695,000",Colombo,Kaduwela,Cars & Vehicles,Three Wheelers,,,Used,,,,,,
Ford Ranger 2006,"3,450,000",Colombo,Colombo 4,Cars & Vehicles,Cars,Ford,2006,Used,Automatic,Ranger,SUV / 4x4,Petrol,"2,800 ","200,000 "
Suzuki Every PA Clipper 2015,"2,390,000",Gampaha,Gampaha,Cars & Vehicles,"Vans, Buses & Lorries",Suzuki,2015,Reconditioned,,Every PA Clipper,,,,"31,680 "
Yamaha Fascino 2016,"175,000",Gampaha,Ja-Ela,Cars & Vehicles,Motorbikes & Scooters,Yamaha,2016,Used,,Fascino,,,115 ,"14,800 "
Nissan Caravan 1993,"3,300,000",Puttalam,Puttalam,Cars & Vehicles,"Vans, Buses & Lorries",Nissan,1993,Used,,Caravan,,,,"200,000 "
Mitsubishi pajero Body parts,"470,000",Kurunegala,Kurunegala,Cars & Vehicles,Auto Parts & Accessories,,,Reconditioned,,,,,,
Toyota AXIO WXB 2017,"6,850,000",Kurunegala,Mawathagama,Cars & Vehicles,Cars,Toyota,2017,New,Automatic,AXIO WXB,Saloon,Petrol,"1,500 ",0 
Toyota Hilux 2007,"5,950,000",Colombo,Nugegoda,Cars & Vehicles,Cars,Toyota,2007,Used,Automatic,Hilux,SUV / 4x4,Diesel,"3,000 ","180,000 "
Maruti ALTO 2015,"1,850,000",Matara,Matara,Cars & Vehicles,Cars,Maruti,2015,Used,Manual,ALTO,Hatchback,Petrol,800 ,"31,000 "
Bajaj Pulsar 180 2006,"78,000",Gampaha,Katunayake,Cars & Vehicles,Motorbikes & Scooters,Bajaj,2006,Used,,Pulsar 180,,,180 ,"35,000 "
Mahindra maxximo lorry 2014,"1,075,000",Gampaha,Minuwangoda,Cars & Vehicles,"Vans, Buses & Lorries",Mahindra,2014,Used,,maxximo lorry,,,,"43,000 "
Honda Jade CH100 2011,"405,000",Gampaha,Negombo,Cars & Vehicles,Motorbikes & Scooters,Honda,2011,Used,,Jade CH100,,,250 ,"19,000 "
Toyota Fortuner 2013,"8,950,000",Colombo,Colombo 4,Cars & Vehicles,Cars,Toyota,2013,Used,Automatic,Fortuner,SUV / 4x4,Petrol,"2,800 ","105,000 "
Isuzu crew cab 1978,"820,000",Galle,Galle,Cars & Vehicles,"Vans, Buses & Lorries",Isuzu,1978,Used,,crew cab,,,,"20,000 "
17220-RBJ-000 Honda insight air filter,"2,700",Colombo,Nugegoda,Cars & Vehicles,Auto Parts & Accessories,,,New,,,,,,
Suzuki SPACIA CUSTOM 2015,"2,975,000",Gampaha,Negombo,Cars & Vehicles,Cars,Suzuki,2015,New,Automatic,SPACIA CUSTOM,Hatchback,Petrol,650 ,0 
Suzuki alto 2015,"1,750,000",Colombo,Malabe,Cars & Vehicles,Cars,Suzuki,2015,Used,Manual,alto,Hatchback,Petrol,800 ,"56,000 "
Bajaj DISCOVER 125 DRL 2018,"86,000",Colombo,Rajagiriya,Cars & Vehicles,Motorbikes & Scooters,Bajaj,2018,New,,DISCOVER 125 DRL,,,125 ,0 
Honda Civic SR Package 2018,"6,170,000",Puttalam,Wennappuwa,Cars & Vehicles,Cars,Honda,2018,New,Tiptronic,Civic SR Package,,Petrol,"1,000 ",8 
Tata Xenon 2014,"1,350,000",Moneragala,Bibile,Cars & Vehicles,"Vans, Buses & Lorries",Tata,2014,Used,,Xenon,,,,"40,692 "
BMW For Rent/Hire,"15,000",Gampaha,Negombo,Cars & Vehicles,Auto Services,,,,,,,,,
Kia Sorento (New Shell) 2013,"7,950,000",Gampaha,Kelaniya,Cars & Vehicles,Cars,Kia,2013,Used,Automatic,Sorento (New Shell),SUV / 4x4,Diesel,"2,200 ","68,000 "
