title,price,district,town,main category,sub category,Brand,Model year,Condition,Transmission,Model,Body type,Fuel type,Engine capacity,Mileage
Honda dio 2016,"120,000",Matale,Matale,Cars & Vehicles,Motorbikes & Scooters,Honda,2016,Used,,dio,,,110 ,"17,900 "
Toyota Premio 2013,"5,200,000",Gampaha,Delgoda,Cars & Vehicles,Cars,Toyota,2013,Used,Automatic,Premio,Saloon,Petrol,"1,500 ","85,000 "
Toyota Prius C/Aqua G 2013,"3,875,000",Colombo,Moratuwa,Cars & Vehicles,Cars,Toyota,2013,Used,Automatic,Prius C/Aqua G,Hatchback,Petrol,"1,497 ","72,800 "
Bajaj Pulsar 150 UG-New 2018,"103,785",Colombo,Piliyandala,Cars & Vehicles,Motorbikes & Scooters,Bajaj,2018,New,,Pulsar 150 UG-New,,,150 ,0 
Suzuki SWIFT RS TURBO 2017,"4,475,000",Colombo,Rajagiriya,Cars & Vehicles,Cars,Suzuki,2017,Reconditioned,Tiptronic,SWIFT RS TURBO,Hatchback,Petrol,"1,000 ","2,900 "
Three Wheeler,"420,000",Polonnaruwa,Polonnaruwa,Cars & Vehicles,Three Wheelers,,,Used,,,,,,
TOYOTA PRADO 2010-2015 MULTIFUNCTION,"17,500",Gampaha,Kadawatha,Cars & Vehicles,Auto Parts & Accessories,,,New,,,,,,
Tata Tipper 2011,"2,750,000",Gampaha,Negombo,Cars & Vehicles,"Vans, Buses & Lorries",Tata,2011,Used,,Tipper,,,,"90,000 "
Suzuki Wagon R Stingray 2015,"2,800,000",Colombo,Colombo 9,Cars & Vehicles,Cars,Suzuki,2015,Used,Automatic,Wagon R Stingray,,Other fuel type,650 ,"38,950 "
Range Rover Sport 2012,"280,000",Puttalam,Chilaw,Cars & Vehicles,Auto Parts & Accessories,,,Used,,,,,,
Three Wheeler,"205,000",Kurunegala,Kurunegala,Cars & Vehicles,Three Wheelers,,,New,,,,,,
Foton Double W. Lorry 2011,"775,000",Kurunegala,Kurunegala,Cars & Vehicles,"Vans, Buses & Lorries",Foton,2011,Used,,Double W. Lorry,,,,"50,000 "
Three Wheeler,"360,000",Matara,Matara,Cars & Vehicles,Three Wheelers,,,Used,,,,,,
RENT A CAR-AUTO GEAR WAGON R,"2,750",Colombo,Maharagama,Cars & Vehicles,Auto Services,,,,,,,,,
Honda FIT GP1 2012,"3,325,000",Colombo,Moratuwa,Cars & Vehicles,Cars,Honda,2012,Used,Automatic,FIT GP1,,Petrol,"1,300 ","70,000 "
Honda S660 SPORTS CAR 2015,"3,775,000",Gampaha,Ja-Ela,Cars & Vehicles,Cars,Honda,2015,Reconditioned,Automatic,S660 SPORTS CAR,Coupé/Sports,Petrol,660 ,"17,000 "
2 stroke Three wheeler,"525,000",Colombo,Angoda,Cars & Vehicles,Three Wheelers,,,Used,,,,,,
Suzuki gn125 2018,"340,000",Gampaha,Kiribathgoda,Cars & Vehicles,Motorbikes & Scooters,Suzuki,2018,Used,,gn125,,,125 ,"2,500 "
